Država,Porabljena energija na državo (letno),Odstotek porabe energije (svetovno),Porabljena energija na prebivalca (letno)
Luxembourg,"183,445,565,000",0.031,307539
CÃ´te d'Ivoire,"178,773,633,000",0.031,6687
Zambia,"177,977,721,000",0.031,10204
Brunei,"176,864,953,000",0.030,408679
Honduras,"171,400,051,000",0.029,17876
Cambodia,"168,697,663,000",0.029,10495
Nepal,"161,222,108,000",0.028,5756
Zimbabwe,"158,453,760,000",0.027,10697
Lithuania,"150,839,505,000",0.026,53313
Armenia,"148,536,904,000",0.026,50957
Cameroon,"147,800,591,000",0.025,6126
Afghanistan,"144,694,375,000",0.025,4054
Yemen,"138,496,775,000",0.024,4185
El Salvador,"132,276,983,000",0.023,21289
DR Congo,"132,065,701,000",0.023,1517
Senegal,"130,707,004,000",0.022,8446
Malta,"128,532,491,000",0.022,274700
Jamaica,"128,130,859,001",0.022,45505
Moldova,"128,017,617,000",0.022,40087
Cyprus,"117,196,038,000",0.020,93437
Albania,"111,843,460,000",0.019,38590
North Macedonia,"100,005,786,000",0.017,51526
Nicaragua,"98,675,888,000",0.017,15623
Benin,"97,181,607,000",0.017,8072
Uganda,"97,180,787,000",0.017,2419
Botswana,"96,035,971,000",0.016,42367
Congo,"95,621,923,000",0.016,17870
Papua New Guinea,"93,500,964,000",0.016,10187
Mauritius,"90,076,344,000",0.015,69791
Estonia,"87,785,565,000",0.015,66634
Namibia,"79,767,587,000",0.014,31820
New Caledonia,"78,485,011,000",0.013,276798
Gabon,"68,381,605,000",0.012,31704
State of Palestine,"65,933,937,000",0.011,13902
Bhutan,"61,282,453,000",0.011,81240
Mali,"60,540,614,000",0.010,3056
Equatorial Guinea,"59,811,150,000",0.010,38282
Madagascar,"54,364,625,000",0.0093,2029
Burkina Faso,"49,416,394,000",0.0085,2484
Macao,"48,682,524,000",0.0084,75295
Haiti,"48,163,170,000",0.0083,4452
Guinea,"48,146,986,000",0.0083,3887
RÃ©union,"46,915,585,000",0.0081,54632
Montenegro,"43,490,743,000",0.0075,70133
Bahamas,"42,853,849,000",0.0074,109745
Togo,"41,108,083,000",0.0071,5102
Mauritania,"39,378,962,000",0.0068,9352
Fiji,"38,870,204,000",0.0067,42307
Suriname,"38,652,993,000",0.0066,65104
Martinique,"36,175,538,000",0.0062,97376
Niger,"34,310,284,001",0.0059,1601
U.S. Virgin Islands,"33,991,878,001",0.0058,357365
Malawi,"31,388,331,000",0.0054,1740
Guyana,"30,165,867,000",0.0052,39254
Guadeloupe,"28,095,517,000",0.0048,68079
Guam,"27,908,500,000",0.0048,170705
Barbados,"24,763,656,000",0.0043,88388
Maldives,"24,704,426,000",0.0042,53906
Eswatini,"20,439,383,000",0.0035,17648
Aruba,"17,606,311,000",0.0030,166520
Liberia,"16,601,000,001",0.0029,3424
South Sudan,"16,407,639,001",0.0028,1599
Rwanda,"15,834,435,000",0.0027,1298
French Guiana,"15,686,060,001",0.0027,56804
Seychelles,"15,644,000,001",0.0027,139148
Lesotho,"15,324,212,000",0.0026,7104
French Polynesia,"15,199,494,000",0.0026,54267
Sierra Leone,"13,386,542,000",0.0023,1814
Belize,"12,727,469,000",0.0022,34103
Greenland,"12,683,792,000",0.0022,226209
Cabo Verde,"12,660,679,000",0.0022,24685
Djibouti,"12,152,607,000",0.0021,11521
Somalia,"12,100,621,000",0.0021,811
Faeroe Islands,"11,506,210,000",0.0020,229011
Bermuda,"11,252,000,000",0.0019,176979
Eritrea,"10,870,852,000",0.0019,3451
Antigua and Barbuda,"10,605,278,000",0.0018,117227
Cayman Islands,"9,514,000,000",0.0016,147424
Timor-Leste,"8,615,000,000",0.0015,6883
Gambia,"7,564,000,000",0.0013,3229
Central African Republic,"7,065,635,000",0.0012,1474
Saint Lucia,"6,991,213,000",0.0012,39646
Samoa,"5,672,659,000",0.00097,27616
Burundi,"5,374,860,000",0.00092,467
Chad,"4,879,681,000",0.00084,312
Solomon Islands,"4,770,491,000",0.00082,6957
Turks and Caicos,"4,606,000,000",0.00079,115401
Guinea-Bissau,"4,395,213,000",0.00075,2342
Grenada,"4,338,852,000",0.00075,37586
Dominica,"3,949,649,001",0.00068,57662
Comoros,"3,848,000,000",0.00066,5085
British Virgin Islands,"3,397,977,000",0.00058,103917
Saint Kitts & Nevis,"3,317,704,000",0.00057,70514
Vanuatu,"3,059,838,000",0.00053,10987
Western Sahara,"3,022,000,000",0.00052,5893
St. Vincent & Grenadines,"2,596,000,000",0.00045,24569
Sao Tome & Principe,"2,366,491,000",0.00041,11434
Saint Pierre & Miquelon,"1,982,000,000",0.00034,334854
Tonga,"1,807,000,000",0.00031,17151
Cook Islands,"1,677,278,000",0.00029,98391
Falkland Islands,"82,900,000",0.000014,23565
Kiribati,"46,100,000",0.0000079,383
